age,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
25,Never married,0,-100,FEMALE,Heterosexual or straight,White,WHITE,.d:  Do not Know/Cannot Choose,None,1,1,.i:  Inapplicable,4,-100,-100,5,2,1,8,7,-100,3
35,Married,2,2,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Orthodox-christian,2,-100,Favor,-100,2,6,6,2,1,8,15,-100,2
36,Never married,2,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,1,-100,.i:  Inapplicable,4,-100,-100,10,2,3,5,0,-100,3
41,Never married,3,8,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Catholic,4,1,Favor,4,0,2,-100,-100,3,-100,-100,-100,1
65,Divorced,4,3,MALE,.i:  Inapplicable,White,WHITE,Liberal,Catholic,2,2,Favor,1,4,1,-100,-100,-100,-100,-100,-100,1
20,Never married,1,8,FEMALE,.i:  Inapplicable,Other,AMERICAN INDIAN OR ALASKA NATIVE,Conservative,Protestant,6,-100,Favor,-100,0,1,-100,-100,1,-100,-100,-100,2
80,Married,7,3,FEMALE,Heterosexual or straight,White,WHITE,Slightly liberal,Catholic,7,-100,Favor,-100,5,8,4,2,1,8,4,2,2
35,Never married,4,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",None,0,1,.i:  Inapplicable,4,-100,-100,2,2,2,6,10,2,3
89,Never married,0,3,FEMALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,0,-100,Favor,-100,4,-100,-100,-100,-100,-100,-100,-100,2
34,Married,3,8,FEMALE,.i:  Inapplicable,Other,HISPANIC,Conservative,Protestant,7,2,Favor,1,1,1,-100,-100,1,-100,-100,3,1
55,Married,5,3,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Extremely conservative,Other,0,2,Favor,1,12,2,-100,-100,-100,-100,-100,2,1
65,Widowed,0,2,MALE,.i:  Inapplicable,White,WHITE,Conservative,Catholic,1,1,Favor,4,2,0,-100,-100,-100,-100,-100,1,1
60,Married,3,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,None,0,1,Favor,1,1,4,1,2,2,8,2,2,1
28,Never married,2,4,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,2,1,Oppose,4,0,0,2,2,2,9,0,3,1
82,Widowed,3,2,FEMALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Protestant,7,2,Favor,1,5,3,-100,-100,-100,-100,-100,1,1
59,Married,1,-100,MALE,.i:  Inapplicable,Other,AMERICAN INDIAN OR ALASKA NATIVE,Liberal,Catholic,0,-100,.i:  Inapplicable,4,-100,-100,8,2,1,9,0,1,3
86,Widowed,0,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,4,-100,Favor,4,1,0,-100,-100,-100,-100,-100,-100,1
36,Married,1,-100,MALE,Heterosexual or straight,Other,AMERICAN INDIAN OR ALASKA NATIVE,"Moderate, middle of the road",Catholic,7,1,.i:  Inapplicable,4,-100,-100,-99,-99,-99,8,14,-100,3
79,Married,2,3,FEMALE,Bisexual,White,WHITE,Extremely conservative,Protestant,0,-100,Oppose,-100,3,-100,-100,-100,-100,-100,-100,-100,2
65,Married,2,-100,MALE,Heterosexual or straight,Other,AMERICAN INDIAN OR ALASKA NATIVE,"Moderate, middle of the road",None,0,-100,.i:  Inapplicable,4,-100,-100,4,2,1,8,0,-100,3
-99,Never married,8,-100,.d:  Do not Know/Cannot Choose,.s:  Skipped on Web,.i:  Inapplicable,.i:  Inapplicable,"Moderate, middle of the road",Orthodox-christian,-97,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,-100,3
76,Divorced,4,2,FEMALE,Heterosexual or straight,White,WHITE,Extremely liberal,None,0,-100,Favor,-100,10,0,-100,-100,-100,-100,-100,-100,2
72,Divorced,2,-100,FEMALE,Heterosexual or straight,White,WHITE,Slightly liberal,Other,7,1,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,-100,3
62,Widowed,1,8,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",None,0,-100,Favor,4,4,2,-100,-100,2,-100,-100,-100,1
46,Never married,0,2,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,2,1,Favor,4,3,7,5,2,2,4,0,-100,1
84,Widowed,2,2,MALE,.i:  Inapplicable,White,WHITE,Extremely conservative,Catholic,7,-100,Favor,-100,3,5,-100,-100,-100,-100,-100,-100,2
79,Married,2,2,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,3,-100,Favor,-100,5,2,-100,-100,-100,-100,-100,-100,2
38,Married,2,3,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Catholic,2,-100,Favor,4,2,2,2,2,2,9,1,-100,1
64,Divorced,2,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",None,2,1,.i:  Inapplicable,4,-100,-100,6,2,2,8,10,1,3
49,Married,6,4,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Jewish,5,-100,Favor,-100,0,20,3,2,2,9,1,2,2
65,Widowed,0,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,Catholic,5,1,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,1,3
29,Never married,0,8,FEMALE,.i:  Inapplicable,Other,CHINESE,Liberal,Protestant,3,-100,Favor,-100,2,1,-100,-100,3,-100,-100,2,2
30,Never married,0,3,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Other,8,1,Favor,-98,4,10,6,1,2,9,0,-100,1
30,Never married,1,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Other,3,-100,.i:  Inapplicable,4,-100,-100,-100,-100,2,-100,-100,-100,3
50,Divorced,1,-100,FEMALE,Bisexual,Black,BLACK OR AFRICAN AMERICAN,Liberal,None,2,-100,.i:  Inapplicable,3,-100,-100,2,1,3,10,5,-100,3
32,Never married,3,-100,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,None,2,-100,Favor,1,1,10,0,2,3,9,0,-100,1
52,Married,3,2,MALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,6,-100,Oppose,-100,1,10,-100,-100,-100,-100,-100,-100,2
89,Married,4,8,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,2,-100,Favor,2,6,5,-100,-100,-100,-100,-100,-100,1
70,Married,3,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,6,-100,.i:  Inapplicable,4,-100,-100,-100,-100,1,-100,-100,-100,3
59,Married,4,-100,FEMALE,Heterosexual or straight,White,WHITE,Liberal,Protestant,2,1,.i:  Inapplicable,4,-100,-100,5,2,2,10,0,-100,3
46,Married,2,2,MALE,.i:  Inapplicable,Other,KOREAN,Liberal,None,0,1,Favor,1,3,5,1,2,2,6,0,1,1
43,Married,0,-100,FEMALE,.s:  Skipped on Web,Other,ASIAN INDIAN,Slightly conservative,Hinduism,1,-100,.i:  Inapplicable,4,-100,-100,3,2,2,-98,1,-100,3
60,Married,5,8,MALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,0,-100,Favor,-100,1,1,5,2,2,8,0,1,2
38,Married,1,-100,MALE,.i:  Inapplicable,White,WHITE,Liberal,Jewish,0,1,.i:  Inapplicable,4,-100,-100,5,2,1,9,3,-100,3
66,Married,3,2,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Jewish,3,-100,Favor,4,2,1,-100,-100,-97,-100,-100,2,1
28,Divorced,3,-100,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,.d:  Do not Know/Cannot Choose,None,0,-100,Favor,-100,4,0,0,2,2,4,1,-100,2
20,Never married,1,3,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Liberal,.d:  Do not Know/Cannot Choose,0,1,Favor,-98,6,0,-100,-100,2,-100,-100,-100,1
62,Never married,4,-100,FEMALE,.d:  Do not Know/Cannot Choose,White,WHITE,Slightly conservative,Catholic,7,2,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
36,Never married,1,-100,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,3,-100,Favor,4,0,-100,-100,-100,2,-100,-100,-100,1
49,Never married,1,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",.n:  No answer,-99,1,.i:  Inapplicable,4,-100,-100,-100,-100,2,-100,-100,-100,3
30,Separated,3,-100,FEMALE,Heterosexual or straight,White,WHITE,Conservative,Other,7,-100,.i:  Inapplicable,1,-100,-100,0,2,2,6,30,-100,3
62,Divorced,3,2,FEMALE,Heterosexual or straight,Other,HISPANIC,Conservative,None,0,-100,Oppose,-100,2,1,-100,-100,-100,-100,-100,-100,2
70,Divorced,2,-100,FEMALE,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Slightly conservative,Catholic,3,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,-100,3
73,Widowed,3,-100,FEMALE,.i:  Inapplicable,Other,HISPANIC,Extremely conservative,Orthodox-christian,3,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
34,Never married,8,8,FEMALE,.d:  Do not Know/Cannot Choose,Black,BLACK OR AFRICAN AMERICAN,Extremely liberal,None,0,-100,Favor,-100,4,0,-97,2,1,-97,-97,-100,2
47,Never married,1,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",None,0,-100,.i:  Inapplicable,4,-100,-100,15,2,1,9,0,-100,3
47,Separated,4,1,FEMALE,.i:  Inapplicable,White,WHITE,Extremely liberal,Catholic,5,-100,Favor,1,1,1,4,-98,4,8,-99,-100,1
58,Divorced,5,-100,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,Other,3,1,Favor,3,-98,5,-98,2,2,6,0,3,1
82,Divorced,2,3,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Other,1,-100,Favor,-100,4,1,-100,-100,-100,-100,-100,-100,2
67,Widowed,2,3,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Other,5,1,Favor,4,4,28,2,2,1,-98,0,-100,1
41,Separated,0,8,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Catholic,1,2,Favor,4,2,0,16,2,2,10,0,2,1
32,Never married,0,8,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,2,-100,Favor,-100,0,37,5,2,2,6,5,-100,2
65,Divorced,3,8,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,.d:  Do not Know/Cannot Choose,Protestant,5,-100,.d:  Do not Know/Cannot Choose,1,0,0,-100,-100,-100,-100,-100,-97,1
57,Never married,0,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Liberal,Catholic,7,2,Favor,4,4,2,-100,-100,-100,-100,-100,2,1
55,Divorced,4,-100,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,.d:  Do not Know/Cannot Choose,Orthodox-christian,2,-100,Favor,-100,1,2,-98,2,2,6,0,-100,2
86,Widowed,4,-100,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,.s:  Skipped on Web,Protestant,7,1,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
31,Never married,0,8,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",None,0,1,Favor,4,5,0,8,2,3,8,0,-100,1
62,Divorced,2,3,FEMALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,3,-100,Favor,-100,3,10,-100,-100,1,-100,-100,2,2
23,Never married,0,3,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,.d:  Do not Know/Cannot Choose,Catholic,0,-100,Favor,-100,2,3,6,2,2,7,-98,2,2
-99,Married,0,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",.n:  No answer,-99,-100,Favor,-100,8,7,2,-99,1,-99,0,-100,2
22,Never married,0,-100,FEMALE,Bisexual,Black,BLACK OR AFRICAN AMERICAN,Liberal,None,2,-100,.i:  Inapplicable,4,-100,-100,0,2,3,7,30,-100,3
44,Married,1,3,MALE,.i:  Inapplicable,White,WHITE,Extremely liberal,None,1,-100,Favor,-100,3,2,4,2,2,9,1,-100,2
24,Never married,0,0,FEMALE,.i:  Inapplicable,Other,AMERICAN INDIAN OR ALASKA NATIVE,"Moderate, middle of the road",Other,0,-100,Favor,-100,-98,35,2,2,2,4,5,-100,2
37,Never married,2,2,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Liberal,Protestant,3,-100,Favor,4,1,40,-100,-100,-100,-100,-100,-100,1
79,Divorced,4,8,MALE,.i:  Inapplicable,White,WHITE,Liberal,None,0,1,Favor,4,3,4,6,2,1,-98,0,-100,1
22,Never married,0,2,MALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,Liberal,None,0,-100,Favor,-100,0,1,-100,-100,-100,-100,-100,2,2
34,Never married,0,1,MALE,.i:  Inapplicable,Other,CHINESE,Slightly liberal,None,0,1,Favor,4,2,3,-100,-100,3,-100,-100,-100,1
26,Never married,0,8,MALE,"Gay, lesbian, or homosexual",Black,BLACK OR AFRICAN AMERICAN,Liberal,Christian,0,-100,Favor,-100,2,50,3,2,1,9,0,-100,2
29,Never married,0,-100,MALE,Heterosexual or straight,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,Liberal,Other,1,-100,Favor,-100,1,1,4,2,2,9,0,-100,2
36,Married,1,3,FEMALE,.i:  Inapplicable,White,WHITE,Liberal,None,0,-100,Favor,4,1,10,6,2,4,9,2,-100,1
29,Never married,0,2,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,None,2,-100,Favor,4,2,12,3,2,2,7,1,2,1
47,Never married,0,3,MALE,Heterosexual or straight,Other,AMERICAN INDIAN OR ALASKA NATIVE,"Moderate, middle of the road",Protestant,2,-100,Oppose,-100,2,0,-100,-100,1,-100,-100,-100,2
58,Never married,0,3,FEMALE,"Gay, lesbian, or homosexual",Black,BLACK OR AFRICAN AMERICAN,Liberal,Buddhism,7,-100,Favor,-100,2,40,3,2,1,9,0,2,2
46,Never married,0,0,MALE,.i:  Inapplicable,White,WHITE,Liberal,None,0,-100,Favor,-100,1,14,6,1,2,8,0,-100,2
29,Never married,0,8,FEMALE,.i:  Inapplicable,Other,FILIPINO,Liberal,.d:  Do not Know/Cannot Choose,0,1,Favor,4,2,7,-98,2,2,8,1,-100,1
46,Married,2,3,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Orthodox-christian,5,-100,Oppose,-100,1,24,5,2,2,8,30,-100,2
71,Separated,2,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,2,1,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,1,3
28,Married,2,2,MALE,Heterosexual or straight,Other,CHINESE,Slightly liberal,Christian,3,-100,Favor,-100,2,30,4,2,1,9,0,-100,2
38,Never married,0,4,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Jewish,4,1,Favor,4,0,10,4,2,1,8,0,-100,1
25,Never married,0,-100,MALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",None,0,2,.i:  Inapplicable,4,-100,-100,6,2,2,7,-98,-100,3
34,Never married,0,-100,FEMALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Catholic,0,1,.i:  Inapplicable,4,-100,-100,5,2,2,8,0,3,3
26,Never married,3,-100,FEMALE,Bisexual,Other,HISPANIC,"Moderate, middle of the road",Catholic,3,-100,.i:  Inapplicable,4,-100,-100,2,2,3,5,12,1,3
63,Separated,1,3,MALE,.i:  Inapplicable,White,WHITE,Slightly conservative,Catholic,8,-100,Favor,-100,3,0,3,2,3,6,2,-100,2
82,Married,1,-100,MALE,.i:  Inapplicable,White,WHITE,Conservative,Protestant,2,1,.i:  Inapplicable,1,-100,-100,4,2,1,7,0,-100,3
47,Never married,0,2,MALE,.i:  Inapplicable,White,WHITE,Conservative,Catholic,1,-100,Favor,4,4,20,3,2,2,8,5,3,1
40,Married,2,2,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Jewish,3,-100,Favor,-100,2,1,3,2,2,8,5,1,2
71,Married,0,-100,MALE,Heterosexual or straight,Other,FILIPINO,"Moderate, middle of the road",Protestant,5,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,-100,3
63,Married,3,3,FEMALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,2,-100,Oppose,-100,0,0,-100,-100,-100,-100,-100,-100,2
89,Widowed,7,5,FEMALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Catholic,2,-100,Oppose,3,4,-100,-100,-100,-97,-100,-100,-100,1
61,Married,3,3,MALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,7,-100,Favor,-100,3,1,3,2,1,10,0,3,2
52,Married,3,4,MALE,.i:  Inapplicable,Other,HISPANIC,Slightly liberal,Catholic,1,-100,Favor,4,6,0,6,2,1,10,0,-100,1
48,Never married,0,-100,MALE,"Gay, lesbian, or homosexual",Black,BLACK OR AFRICAN AMERICAN,Liberal,Protestant,0,1,.i:  Inapplicable,4,-100,-100,2,2,2,9,0,-100,3
40,Never married,0,2,MALE,.i:  Inapplicable,White,WHITE,Liberal,Catholic,2,-100,Favor,-100,2,25,10,2,2,8,0,1,2
-99,Married,1,1,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Liberal,Protestant,0,-100,Oppose,1,4,0,24,2,2,-99,0,-100,1
44,Married,3,2,MALE,.s:  Skipped on Web,White,WHITE,Slightly conservative,Protestant,0,-100,Favor,-100,2,2,4,2,1,6,0,-100,2
42,Married,3,3,MALE,.i:  Inapplicable,Other,HISPANIC,"Moderate, middle of the road",Protestant,6,-100,Favor,-100,2,1,3,2,2,7,0,-100,2
46,Separated,0,8,MALE,.i:  Inapplicable,Other,SOME OTHER RACE,"Moderate, middle of the road",None,0,1,Favor,4,0,0,5,2,4,9,15,3,1
70,Widowed,2,4,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,5,-100,Favor,-100,5,-98,-100,-100,-100,-100,-100,-100,2
20,Never married,0,-100,FEMALE,Bisexual,Black,BLACK OR AFRICAN AMERICAN,Extremely liberal,Christian,4,1,.i:  Inapplicable,4,-100,-100,-100,-100,2,-100,-100,1,3
36,Married,1,3,MALE,.i:  Inapplicable,Other,AMERICAN INDIAN OR ALASKA NATIVE,Slightly conservative,.d:  Do not Know/Cannot Choose,3,-100,Favor,-100,1,12,4,2,1,-98,0,-100,2
82,Married,0,2,MALE,.i:  Inapplicable,White,WHITE,"Moderate, middle of the road",Catholic,2,-100,Favor,4,3,5,-100,-100,-100,-100,-100,-100,1
65,Married,3,2,FEMALE,.i:  Inapplicable,White,WHITE,Conservative,Catholic,8,-100,Favor,4,2,12,1,2,1,5,10,2,1
64,Divorced,5,4,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,Catholic,5,-100,.d:  Do not Know/Cannot Choose,2,3,0,-100,-100,2,-100,-100,-100,1
69,Divorced,2,-100,FEMALE,Heterosexual or straight,.i:  Inapplicable,.n:  No answer,Liberal,Catholic,0,1,.i:  Inapplicable,4,-100,-100,4,2,1,10,0,-100,3
-99,Married,2,3,MALE,Heterosexual or straight,Other,CHINESE,"Moderate, middle of the road",None,0,-100,Favor,-100,1,3,-100,-100,-97,-100,-100,1,2
65,Divorced,0,2,FEMALE,.i:  Inapplicable,White,WHITE,Extremely liberal,None,0,-100,Favor,4,2,10,2,2,1,6,5,-100,1
52,Divorced,0,3,MALE,Heterosexual or straight,Other,HISPANIC,"Moderate, middle of the road",Catholic,0,-100,Favor,-100,2,4,4,1,1,8,0,-100,2
61,Married,2,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Protestant,1,-100,.i:  Inapplicable,1,-100,-100,2,2,1,7,0,-100,3
31,Never married,0,-100,FEMALE,Bisexual,White,WHITE,Extremely liberal,Jewish,1,-100,.i:  Inapplicable,4,-100,-100,5,2,2,8,2,2,3
40,Never married,0,-100,MALE,"Gay, lesbian, or homosexual",Other,HISPANIC,"Moderate, middle of the road",Catholic,0,-100,.i:  Inapplicable,4,-100,-100,0,2,4,5,0,-100,3
43,Married,0,3,MALE,Heterosexual or straight,Other,HISPANIC,Slightly liberal,Protestant,8,-100,Favor,-100,3,7,6,2,1,9,0,-100,2
26,Never married,0,4,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly conservative,Other,3,-100,Favor,-100,0,7,8,2,1,6,0,-100,2
80,Married,2,2,MALE,.n:  No answer,White,WHITE,Liberal,None,0,-100,Favor,-100,4,0,-100,-100,-100,-100,-100,-100,2
34,Never married,2,2,FEMALE,Heterosexual or straight,.i:  Inapplicable,.i:  Inapplicable,Slightly liberal,Catholic,0,-100,Favor,-100,2,15,-100,-100,2,-100,-100,-100,2
26,Never married,0,8,FEMALE,.i:  Inapplicable,Other,HISPANIC,Slightly liberal,Catholic,0,-100,Favor,-100,1,0,-100,-100,4,-100,-100,-100,2
56,Widowed,3,2,FEMALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Muslim/islam,3,-100,Oppose,-100,2,1,2,2,2,7,2,-100,2
32,Never married,8,8,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",None,0,-100,Favor,4,0,-98,-100,-100,1,-100,-100,-100,1
23,Never married,0,-100,FEMALE,Bisexual,White,WHITE,Liberal,None,2,1,.i:  Inapplicable,4,-100,-100,5,2,2,9,2,-100,3
34,Divorced,0,8,FEMALE,.i:  Inapplicable,White,WHITE,Liberal,None,0,-100,Favor,-100,0,50,5,2,2,6,3,1,2
-99,Never married,0,2,FEMALE,.i:  Inapplicable,Other,KOREAN,Conservative,None,0,-100,Favor,1,2,2,1,2,1,8,0,2,1
79,Married,4,4,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Extremely liberal,Catholic,3,-100,.d:  Do not Know/Cannot Choose,4,3,5,-100,-100,-100,-100,-100,-100,1
36,Married,3,3,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,6,1,Oppose,4,1,4,0,2,1,8,0,-100,1
-99,Divorced,2,3,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",.n:  No answer,-99,-100,Favor,-100,6,1,-100,-100,-100,-100,-100,-100,2
69,Married,3,-100,MALE,Heterosexual or straight,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,5,-100,.i:  Inapplicable,1,-100,-100,-100,-100,-100,-100,-100,1,3
56,Never married,5,6,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,.n:  No answer,Protestant,5,-100,Oppose,1,6,-100,-100,-100,2,-100,-100,-100,1
-99,Married,2,-100,FEMALE,Heterosexual or straight,Other,AMERICAN INDIAN OR ALASKA NATIVE,.s:  Skipped on Web,Catholic,1,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,1,3
36,Never married,3,-100,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,"Moderate, middle of the road",Protestant,7,1,Favor,4,0,1,-100,-100,2,-100,-100,2,1
-99,Separated,2,3,FEMALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,.n:  No answer,Protestant,5,-100,Favor,1,1,1,-99,-99,1,-99,-99,-100,1
29,Never married,0,2,MALE,.i:  Inapplicable,Black,BLACK OR AFRICAN AMERICAN,Slightly liberal,Catholic,4,-100,Favor,-100,0,9,4,-99,2,-99,-99,-100,2
44,Never married,0,8,FEMALE,.i:  Inapplicable,Other,HISPANIC,"Moderate, middle of the road",Catholic,1,-100,Favor,4,3,3,3,2,2,8,2,-100,1
37,Married,2,8,MALE,.i:  Inapplicable,Other,SOME OTHER RACE,Conservative,None,0,-100,Favor,1,2,0,4,2,2,-98,0,-100,1
70,Divorced,4,-100,MALE,Heterosexual or straight,White,WHITE,"Moderate, middle of the road",Jewish,1,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,1,3
-99,Never married,-100,-100,FEMALE,.s:  Skipped on Web,White,WHITE,Liberal,None,2,-100,.i:  Inapplicable,4,-100,-100,-100,-100,-100,-100,-100,-100,3
62,Separated,2,3,MALE,Heterosexual or straight,White,WHITE,Conservative,Catholic,0,-100,Oppose,-100,6,7,-100,-100,-100,-100,-100,3,2
24,Never married,0,2,FEMALE,.i:  Inapplicable,White,WHITE,Slightly liberal,None,0,-100,Favor,-100,2,3,4,2,2,9,3,2,2
