year,id_,labor_force_status,hours_per_week,marital_status,childs,age,education,sex,race,income,political_views,religious_preference,attends_religious_services,health,confidence_exec_branch,work_satisfaction,class_identification,abortion opinion,ideal_number_children,sex_education_opinion,homosexual_opinion,convicted,lockedup,tv_hours,confidence_god,email_hours,relax_hours,racism_work,poor_mental_health,sexual_orientation,ethnicify,ballot,life_rating,confidence_federal
2012,28,7,None,Married,2,50,10,MALE,White,None,Moderate  middle of the road,Catholic,Never,Excellent,None,Very satisfied,Middle class,YES,4,Oppose,ALWAYS WRONG,None,None,8,No doubts,None,None,None,None,Heterosexual or straight,WHITE,Ballot a,None,None
2012,29,5,None,Widowed,3,81,16,FEMALE,Black,None,Moderate  middle of the road,Catholic,Nearly every week,None,ONLY SOME,None,Middle class,None,None,Favor,None,No,No,4,Believe with doubts,6,None,None,None,None,BLACK OR AFRICAN AMERICAN,Ballot b,None,None
2012,30,2,None,Separated,2,44,13,FEMALE,White,$8000 TO 9999,Conservative,Christian,Every week,Good,None,Very satisfied,Working class,NO,None,None,ALWAYS WRONG,No,No,2,No doubts,5,None,NO,20,None,WHITE,Ballot a,None,None
2012,31,5,None,Never married,0,78,16,MALE,White,None,Moderate  middle of the road,Catholic,None,Good,ONLY SOME,None,Middle class,NO,None,None,ALWAYS WRONG,No,No,None,None,None,None,None,None,Heterosexual or straight,WHITE,Ballot c,None,None
2012,32,1,None,Divorced,2,63,14,FEMALE,White,$25000 OR MORE,Liberal,Catholic,Every week,None,A GREAT DEAL,Very satisfied,Lower class,None,None,Favor,None,No,No,4,No doubts,2,None,NO,2,Heterosexual or straight,WHITE,Ballot b,None,None
2012,33,5,None,Married,0,73,19,MALE,White,None,Liberal,None,Never,None,A GREAT DEAL,None,Upper class,None,1,Favor,None,No,No,1,Don't believe,10,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,34,1,None,Married,1,40,16,MALE,Other,$25000 OR MORE,Slightly liberal,Hinduism,About once a month,Fair,HARDLY ANY,Moderately satisfied,Working class,YES,None,None,NOT WRONG AT ALL,No,No,None,No doubts,None,None,NO,0,Heterosexual or straight,ASIAN INDIAN,Ballot c,None,None
2012,35,1,None,Married,0,42,14,FEMALE,White,$25000 OR MORE,Slightly conservative,Catholic,About once a month,None,HARDLY ANY,Moderately satisfied,Working class,None,2,Favor,None,No,No,3,No doubts,20,None,NO,15,Heterosexual or straight,WHITE,Ballot b,None,None
2012,36,1,None,Divorced,2,62,18,MALE,White,$25000 OR MORE,Liberal,Protestant,Every week,Good,ONLY SOME,Very satisfied,Working class,YES,None,None,NOT WRONG AT ALL,No,No,None,No doubts,None,None,NO,1,Heterosexual or straight,WHITE,Ballot c,None,None
2012,37,1,None,Divorced,0,52,11,MALE,White,$25000 OR MORE,None,Protestant,Never,Fair,None,Very satisfied,Working class,None,None,Favor,None,None,None,5,Believe sometimes,None,None,NO,None,None,WHITE,Ballot a,None,None
2012,38,1,None,Never married,0,49,12,FEMALE,Black,$25000 OR MORE,Moderate  middle of the road,Protestant,2-3 times a month,None,ONLY SOME,Very satisfied,Working class,None,3,Favor,None,No,No,16,No doubts,4,None,NO,1,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot b,None,None
2012,39,2,None,Never married,0,27,17,FEMALE,Other,$25000 OR MORE,Liberal,None,Never,Good,None,Moderately satisfied,Middle class,YES,3,Favor,NOT WRONG AT ALL,No,No,1,Higher power,3,None,NO,1,Heterosexual or straight,FILIPINO,Ballot a,None,None
2012,40,1,None,Never married,2,30,14,FEMALE,Black,$25000 OR MORE,Moderate  middle of the road,Protestant,Several times a year,None,HARDLY ANY,Very satisfied,Working class,None,2,Favor,None,No,No,2,No doubts,20,None,NO,2,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot b,None,None
2012,41,1,None,Married,0,29,18,FEMALE,Other,$25000 OR MORE,Liberal,Hinduism,2-3 times a month,Excellent,ONLY SOME,Very satisfied,Middle class,YES,None,None,NOT WRONG AT ALL,No,No,None,Higher power,None,None,YES,0,Heterosexual or straight,ASIAN INDIAN,Ballot c,None,None
2012,42,5,None,Divorced,2,69,14,FEMALE,White,None,Slightly liberal,None,Never,None,ONLY SOME,None,Middle class,None,2,Favor,None,No,No,2,Don't believe,4,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,43,1,None,Divorced,0,51,18,FEMALE,White,$25000 OR MORE,Slightly conservative,Jewish,Less than once a year,None,ONLY SOME,Moderately satisfied,Middle class,None,2,Favor,None,No,No,2,Believe with doubts,15,None,NO,0,Heterosexual or straight,WHITE,Ballot b,None,None
2012,44,1,None,Divorced,3,57,16,FEMALE,White,$25000 OR MORE,Slightly conservative,Catholic,Every week,Excellent,ONLY SOME,Very satisfied,Upper class,NO,None,None,NOT WRONG AT ALL,No,No,None,No doubts,None,None,NO,0,Heterosexual or straight,WHITE,Ballot c,None,None
2012,45,1,None,Married,2,44,16,MALE,White,$25000 OR MORE,Slightly conservative,Jewish,About once or twice a year,Good,ONLY SOME,Very satisfied,Upper class,YES,None,None,NOT WRONG AT ALL,No,No,None,Believe with doubts,None,None,NO,0,Heterosexual or straight,WHITE,Ballot c,None,None
2012,46,7,None,Married,3,73,16,FEMALE,White,None,Slightly liberal,Jewish,Never,None,HARDLY ANY,Very satisfied,Upper class,None,3,Favor,None,No,No,2,Believe with doubts,0,None,None,None,None,WHITE,Ballot b,None,None
2012,47,7,None,Married,3,73,16,FEMALE,White,None,Moderate  middle of the road,Jewish,About once or twice a year,Good,HARDLY ANY,Very satisfied,Upper class,YES,None,None,NOT WRONG AT ALL,No,No,None,Believe with doubts,None,None,None,None,None,WHITE,Ballot c,None,None
2012,48,1,None,Married,2,68,16,MALE,White,$25000 OR MORE,Moderate  middle of the road,Jewish,Never,None,ONLY SOME,Very satisfied,Upper class,None,2,Favor,None,No,No,4,Don't know  no way to find out,0,None,NO,0,Heterosexual or straight,WHITE,Ballot b,None,None
2012,49,5,None,Divorced,4,84,16,FEMALE,White,$20000 - 24999,Liberal,Protestant,Every week,None,ONLY SOME,None,Middle class,None,3,Favor,None,No,No,2,No doubts,10,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,50,5,None,Divorced,1,63,19,MALE,White,None,Moderate  middle of the road,None,Never,Good,HARDLY ANY,None,Upper class,YES,None,None,NOT WRONG AT ALL,No,Yes,None,Don't know  no way to find out,None,None,None,None,Heterosexual or straight,WHITE,Ballot c,None,None
2012,51,1,None,Divorced,2,57,16,MALE,White,$25000 OR MORE,Moderate  middle of the road,Catholic,Every week,Excellent,ONLY SOME,Moderately satisfied,Working class,NO,None,None,NOT WRONG AT ALL,No,No,None,No doubts,None,None,NO,15,None,WHITE,Ballot c,None,None
2012,52,1,None,Married,2,42,16,FEMALE,Other,$25000 OR MORE,Slightly conservative,Catholic,Every week,None,A GREAT DEAL,Moderately satisfied,Working class,None,3,Favor,None,No,No,1,Believe sometimes,7,None,NO,10,Heterosexual or straight,KOREAN,Ballot b,None,None
2012,53,7,None,Married,2,45,20,FEMALE,White,None,Moderate  middle of the road,None,About once or twice a year,Excellent,None,Moderately satisfied,Upper class,YES,0,Favor,NOT WRONG AT ALL,No,No,1,Don't believe,1,None,None,None,Heterosexual or straight,WHITE,Ballot a,None,None
2012,54,1,None,Never married,1,38,14,MALE,Other,None,Liberal,None,About once or twice a year,None,ONLY SOME,A little dissatisfied,Middle class,None,None,Favor,None,No,No,2,No doubts,25,None,NO,0,Heterosexual or straight,HISPANIC,Ballot b,None,None
2012,55,1,None,Married,2,46,20,MALE,White,$25000 OR MORE,Slightly liberal,Jewish,About once a month,Good,HARDLY ANY,Very satisfied,Middle class,YES,None,None,NOT WRONG AT ALL,No,No,None,Higher power,None,None,NO,0,Heterosexual or straight,WHITE,Ballot c,None,None
2012,56,6,None,Married,3,51,20,FEMALE,Other,None,Moderate  middle of the road,Other,Never,Excellent,None,None,Working class,NO,3,Favor,None,No,No,0,No doubts,2,None,None,None,Heterosexual or straight,KOREAN,Ballot a,None,None
2012,57,1,None,Married,1,41,14,FEMALE,Black,$15000 - 19999,Moderate  middle of the road,Protestant,2-3 times a month,Good,A GREAT DEAL,Very satisfied,Working class,None,None,None,ALWAYS WRONG,No,No,None,No doubts,None,None,NO,0,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot c,None,None
2012,58,5,None,Divorced,3,75,12,FEMALE,Black,None,Slightly liberal,Protestant,Less than once a year,Fair,None,None,Working class,YES,4,Favor,NOT WRONG AT ALL,None,None,24,Don't know  no way to find out,0,None,None,None,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot a,None,None
2012,59,5,None,Never married,5,81,8,FEMALE,Other,None,Slightly conservative,Christian,Never,Good,ONLY SOME,None,Middle class,YES,None,None,ALWAYS WRONG,No,No,None,No doubts,None,None,None,None,None,HISPANIC,Ballot c,None,None
2012,60,2,None,Married,6,41,9,FEMALE,White,None,Conservative,Protestant,Every week,None,None,None,Lower class,None,3,Oppose,None,No,No,0,No doubts,None,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,61,5,None,Widowed,2,67,19,FEMALE,Black,None,Moderate  middle of the road,Christian,About once a month,Good,None,None,Middle class,YES,2,Favor,None,No,No,5,Higher power,4,None,None,None,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot a,None,None
2012,62,5,None,Widowed,2,71,19,MALE,Black,None,Moderate  middle of the road,Protestant,Every week,None,ONLY SOME,None,Middle class,None,2,Favor,None,None,None,7,No doubts,None,None,None,None,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot b,None,None
2012,63,1,None,Married,2,35,6,MALE,Other,None,Moderate  middle of the road,Muslim/islam,Never,Excellent,ONLY SOME,Very dissatisfied,Working class,NO,None,None,ALWAYS WRONG,None,None,None,No doubts,None,None,NO,0,None,SOME OTHER RACE,Ballot c,None,None
2012,64,1,None,Never married,1,45,17,FEMALE,Black,$25000 OR MORE,Moderate  middle of the road,Catholic,Nearly every week,Excellent,A GREAT DEAL,Moderately satisfied,Working class,NO,None,None,NOT WRONG AT ALL,No,No,None,Believe with doubts,None,None,NO,2,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot c,None,None
2012,65,7,None,Married,2,35,16,FEMALE,Black,None,Conservative,Protestant,Nearly every week,Good,None,Moderately satisfied,Working class,NO,2,Favor,ALWAYS WRONG,No,No,5,No doubts,5,None,None,None,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot a,None,None
2012,66,6,None,Never married,0,21,14,FEMALE,Black,None,Conservative,Protestant,Nearly every week,Excellent,HARDLY ANY,None,Middle class,YES,None,None,ALWAYS WRONG,No,No,None,No doubts,None,None,None,None,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot c,None,None
2012,67,1,None,Divorced,2,52,11,FEMALE,Black,$25000 OR MORE,Slightly conservative,Catholic,2-3 times a month,None,ONLY SOME,Moderately satisfied,Working class,None,2,Favor,None,None,None,7,Higher power,None,None,NO,0,None,BLACK OR AFRICAN AMERICAN,Ballot b,None,None
2012,68,1,None,Never married,1,49,16,FEMALE,Black,$25000 OR MORE,Slightly liberal,Protestant,About once a month,Good,None,Moderately satisfied,Working class,NO,3,Favor,ALWAYS WRONG,No,No,3,No doubts,3,None,NO,0,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot a,None,None
2012,69,1,None,Never married,0,46,16,MALE,White,$25000 OR MORE,Extremely liberal,None,Never,None,ONLY SOME,Moderately satisfied,Middle class,None,2,Favor,None,Yes,Yes,0,Don't believe,20,None,NO,10,Heterosexual or straight,WHITE,Ballot b,None,None
2012,70,1,None,Widowed,2,51,14,FEMALE,White,$20000 - 24999,Extremely liberal,Catholic,2-3 times a month,Good,ONLY SOME,Very satisfied,Working class,YES,None,None,NOT WRONG AT ALL,No,No,None,No doubts,None,None,NO,0,Heterosexual or straight,WHITE,Ballot c,None,None
2012,71,1,None,Never married,0,28,16,MALE,Other,$25000 OR MORE,Slightly liberal,None,About once or twice a year,Fair,None,A little dissatisfied,Working class,YES,2,Favor,NOT WRONG AT ALL,No,No,3,Don't believe,20,None,NO,3,Heterosexual or straight,SOME OTHER RACE,Ballot a,None,None
2012,72,5,None,Widowed,3,81,16,FEMALE,White,None,Liberal,Protestant,Every week,Good,None,None,Middle class,None,3,Favor,ALWAYS WRONG,None,None,1,No doubts,None,None,None,None,Heterosexual or straight,WHITE,Ballot a,None,None
2012,73,1,None,Married,3,47,17,MALE,White,$25000 OR MORE,Liberal,Muslim/islam,Every week,Fair,ONLY SOME,Moderately satisfied,Middle class,NO,None,None,ALWAYS WRONG,No,No,None,No doubts,None,None,NO,20,Heterosexual or straight,WHITE,Ballot c,None,None
2012,74,1,None,Married,2,48,14,MALE,White,None,Liberal,Muslim/islam,Every week,Good,None,Moderately satisfied,Working class,NO,3,Oppose,ALWAYS WRONG,No,No,0,No doubts,4,None,NO,5,Heterosexual or straight,WHITE,Ballot a,None,None
2012,75,1,None,Married,2,46,16,MALE,White,$25000 OR MORE,Moderate  middle of the road,None,Several times a year,None,ONLY SOME,None,Middle class,None,2,Favor,None,No,No,1,Believe with doubts,25,None,NO,0,Heterosexual or straight,WHITE,Ballot b,None,None
2012,76,5,None,Married,3,68,12,MALE,White,None,Slightly conservative,Catholic,Several times a year,None,HARDLY ANY,None,Middle class,None,4,Favor,None,No,No,6,No doubts,0,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,77,1,None,Married,2,56,16,FEMALE,White,$20000 - 24999,Slightly liberal,Catholic,Several times a year,Excellent,ONLY SOME,Moderately satisfied,Middle class,YES,None,None,NOT WRONG AT ALL,No,No,None,No doubts,None,None,NO,0,Heterosexual or straight,WHITE,Ballot c,None,None
2012,78,7,None,Married,3,43,14,FEMALE,White,None,Moderate  middle of the road,Catholic,Nearly every week,None,ONLY SOME,Moderately satisfied,Working class,None,2,Favor,None,No,No,2,No doubts,0,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,79,1,None,Married,2,32,13,FEMALE,Other,None,Extremely conservative,Protestant,Every week,None,ONLY SOME,Very dissatisfied,Lower class,None,None,Favor,None,No,Yes,2,No doubts,0,None,NO,0,None,HISPANIC,Ballot b,None,None
2012,80,2,None,Never married,2,23,12,FEMALE,Other,$4000 TO 4999,Moderate  middle of the road,Catholic,About once a month,Good,ONLY SOME,A little dissatisfied,Working class,NO,None,None,SOMETIMES WRONG,No,No,None,Believe with doubts,None,None,NO,0,Heterosexual or straight,HISPANIC,Ballot c,None,None
2012,81,5,None,Never married,0,59,12,MALE,White,None,Slightly conservative,Jewish,Never,None,ONLY SOME,None,Middle class,None,2,Favor,None,None,None,7,Don't know  no way to find out,None,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
2012,82,1,None,Separated,0,32,18,FEMALE,White,$25000 OR MORE,Slightly liberal,None,Never,None,ONLY SOME,Very satisfied,Working class,None,2,Favor,None,No,No,2,Higher power,1,None,NO,3,Heterosexual or straight,WHITE,Ballot b,None,None
2012,83,1,None,Married,2,44,16,MALE,White,$25000 OR MORE,Liberal,None,About once or twice a year,Good,None,Very satisfied,Middle class,NO,2,Favor,NOT WRONG AT ALL,No,Yes,2,Higher power,10,None,NO,3,Heterosexual or straight,WHITE,Ballot a,None,None
2012,84,1,None,Divorced,1,49,20,FEMALE,Other,$25000 OR MORE,Slightly liberal,None,Never,Good,ONLY SOME,Very satisfied,Middle class,YES,None,None,NOT WRONG AT ALL,No,No,None,Higher power,None,None,NO,2,Heterosexual or straight,OTHER ASIAN,Ballot c,None,None
2012,85,1,None,Never married,0,64,12,FEMALE,White,$25000 OR MORE,Liberal,None,Never,None,ONLY SOME,Very satisfied,Middle class,None,3,Favor,None,No,No,2,Don't believe,18,None,NO,1,Heterosexual or straight,WHITE,Ballot b,None,None
2012,86,1,None,Married,0,30,19,FEMALE,White,None,Moderate  middle of the road,Protestant,Never,Good,A GREAT DEAL,Moderately satisfied,Working class,YES,None,None,SOMETIMES WRONG,No,No,None,Higher power,None,None,NO,0,Heterosexual or straight,WHITE,Ballot c,None,None
2012,87,7,None,Married,3,51,12,FEMALE,Other,$20000 - 24999,Liberal,Catholic,Several times a year,Excellent,HARDLY ANY,Very satisfied,Working class,NO,None,None,NOT WRONG AT ALL,No,No,None,No doubts,None,None,None,None,Heterosexual or straight,SOME OTHER RACE,Ballot c,None,None
2012,88,1,None,Never married,0,28,17,FEMALE,Black,$25000 OR MORE,Liberal,None,Never,Good,None,Very satisfied,Working class,None,3,Favor,None,None,None,4,No doubts,40,None,NO,0,None,BLACK OR AFRICAN AMERICAN,Ballot a,None,None
2012,89,5,None,Widowed,2,84,13,MALE,White,None,Moderate  middle of the road,Catholic,Every week,Good,HARDLY ANY,None,Middle class,YES,None,None,SOMETIMES WRONG,No,No,None,No doubts,None,None,None,None,Heterosexual or straight,WHITE,Ballot c,None,None
2012,90,1,None,Married,2,32,14,MALE,Other,$15000 - 19999,Conservative,Protestant,Several times a week,None,ONLY SOME,Moderately satisfied,Working class,None,2,Favor,None,No,Yes,5,No doubts,1,None,NO,4,None,HISPANIC,Ballot b,None,None
2012,91,Other,None,Married,3,54,18,FEMALE,Other,$25000 OR MORE,Liberal,Protestant,Every week,Fair,None,None,Working class,NO,2,Favor,ALWAYS WRONG,No,No,1,No doubts,0,None,None,None,Heterosexual or straight,HISPANIC,Ballot a,None,None
2012,92,1,None,Never married,0,34,20,FEMALE,Black,$25000 OR MORE,Moderate  middle of the road,None,About once or twice a year,Good,None,Moderately satisfied,Working class,YES,3,Favor,NOT WRONG AT ALL,No,No,4,No doubts,2,None,YES,0,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot a,None,None
2012,93,2,None,Married,1,33,16,FEMALE,Other,$7000 TO 7999,Extremely liberal,None,Never,None,HARDLY ANY,Very satisfied,Lower class,None,2,Favor,None,No,No,0,Don't know  no way to find out,2,None,NO,0,Heterosexual or straight,CHINESE,Ballot b,None,None
2012,94,4,None,Separated,2,48,12,FEMALE,White,None,Liberal,Catholic,Every week,Good,None,Moderately satisfied,Lower class,NO,1,Favor,NOT WRONG AT ALL,No,No,1,Believe with doubts,20,None,None,None,Heterosexual or straight,WHITE,Ballot a,None,None
2012,95,7,None,Divorced,3,52,10,FEMALE,Black,None,Liberal,Catholic,Never,None,HARDLY ANY,Very satisfied,Lower class,None,2,Oppose,None,None,None,10,Don't believe,0,None,None,None,Heterosexual or straight,BLACK OR AFRICAN AMERICAN,Ballot b,None,None
2012,96,2,None,Married,2,None,14,FEMALE,Other,$4000 TO 4999,Liberal,Catholic,Nearly every week,Good,ONLY SOME,Moderately satisfied,Working class,NO,None,None,NOT WRONG AT ALL,No,No,None,Higher power,None,None,NO,0,Heterosexual or straight,HISPANIC,Ballot c,None,None
2012,97,1,None,Married,2,54,16,MALE,White,None,Moderate  middle of the road,Jewish,Several times a year,Good,ONLY SOME,Moderately satisfied,Middle class,YES,None,None,None,No,No,None,Believe sometimes,None,None,NO,0,Heterosexual or straight,WHITE,Ballot c,None,None
2012,98,6,None,Never married,0,19,13,FEMALE,Other,None,Moderate  middle of the road,Other eastern religions,About once a month,Good,None,None,Middle class,YES,None,Favor,NOT WRONG AT ALL,No,No,2,No doubts,5,None,None,None,Heterosexual or straight,OTHER PACIFIC ISLANDER,Ballot a,None,None
2012,99,1,None,Divorced,0,41,16,MALE,Other,$25000 OR MORE,Moderate  middle of the road,None,About once a month,Excellent,None,Very satisfied,Middle class,YES,2,Favor,NOT WRONG AT ALL,No,No,1,Higher power,20,None,NO,4,Heterosexual or straight,ASIAN INDIAN,Ballot a,None,None
2012,100,2,None,Never married,0,23,17,FEMALE,White,$15000 - 19999,Liberal,Catholic,Several times a year,Excellent,None,Very satisfied,Working class,NO,3,Favor,NOT WRONG AT ALL,No,No,2,Believe with doubts,1,None,NO,5,Heterosexual or straight,WHITE,Ballot a,None,None
2012,101,5,None,Divorced,2,51,12,MALE,White,$25000 OR MORE,Conservative,Muslim/islam,Several times a week,None,HARDLY ANY,None,Working class,None,2,Oppose,None,No,No,2,No doubts,2,None,None,None,Heterosexual or straight,WHITE,Ballot b,None,None
